127.0.0.1 - - [26/Sep/2015:19:51:42 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:46 +0800] "GET /myblog/jsp/back/back_users.jsp HTTP/1.1" 200 21110
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:46 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:46 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:46 +0800] "GET /myblog/jsp/back/css/back_journal_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:46 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:46 +0800] "GET /myblog/jsp/back/css/DT_bootstrap.css HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:47 +0800] "GET /myblog/jsp/back/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:47 +0800] "GET /myblog/jsp/back/js/twitter-bootstrap-hover-dropdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:47 +0800] "GET /myblog/jsp/back/vendors/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:47 +0800] "GET /myblog/jsp/back/js/DT_bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:49 +0800] "GET /myblog/jsp/back/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:50 +0800] "GET /myblog/jsp/back/vendors/datatables/images/sort_asc.png HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:51:50 +0800] "GET /myblog/jsp/back/vendors/datatables/images/sort_both.png HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:39 +0800] "GET /myblog/jsp/back/back_users.jsp HTTP/1.1" 200 21110
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:39 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:39 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:39 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:39 +0800] "GET /myblog/jsp/back/css/back_journal_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:39 +0800] "GET /myblog/jsp/back/css/DT_bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:19:52:40 +0800] "GET /myblog/jsp/back/js/bootstrap.min.js HTTP/1.1" 304 -
