127.0.0.1 - - [09/Oct/2015:12:42:20 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:15 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 8703
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/css/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/img/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/img/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/img/04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/img/05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/img/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:16 +0800] "GET /myblog/jsp/nav/img/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:17 +0800] "GET /myblog/jsp/nav/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:17 +0800] "GET /myblog/jsp/nav/img/newsbg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:17 +0800] "GET /myblog/jsp/nav/img/newsbg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:17 +0800] "GET /myblog/jsp/nav/img/newsbg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:17 +0800] "GET /myblog/jsp/nav/img/newsbg04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:18 +0800] "GET /myblog/jsp/login/login.jsp HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:18 +0800] "GET /myblog/jsp/login/css/supersized.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:18 +0800] "GET /myblog/jsp/login/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:18 +0800] "GET /myblog/jsp/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:18 +0800] "GET /myblog/jsp/login/js/supersized.3.2.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:18 +0800] "GET /myblog/jsp/login/js/supersized-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:19 +0800] "GET /myblog/jsp/login/img/progress.gif HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:19 +0800] "GET /myblog/jsp/login/img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:19 +0800] "GET /myblog/jsp/login/img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:19 +0800] "GET /myblog/jsp/login/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:22 +0800] "POST /myblog/LoginDo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:22 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 8475
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:24 +0800] "GET /myblog/jsp/back/back_login.jsp HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:27 +0800] "POST /myblog/AdminSessionDo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:27 +0800] "GET /myblog/jsp/back/back_index.jsp HTTP/1.1" 200 8098
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:27 +0800] "GET /myblog/jsp/back/vendors/easypiechart/jquery.easy-pie-chart_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:27 +0800] "GET /myblog/jsp/back/vendors/easypiechart/jquery.easy-pie-chart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:27 +0800] "GET /myblog/jsp/back/vendors/easypiechart/jquery.easy-pie-chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:27 +0800] "GET /myblog/jsp/back/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:29 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 12682
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:29 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:29 +0800] "GET /myblog/jsp/back/css/back_journal_release.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:46:29 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 12995
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/css/datepicker.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/css/uniform.default.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/css/back_journal_release.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/chosen.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/stylesheets/bootstrap-wysihtml5/core-b3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/core-b3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/js/twitter-bootstrap-hover-dropdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/wysihtml5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/twitter-bootstrap-wizard/jquery.bootstrap.wizard-for.bootstrap3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/boostrap3-typeahead/bootstrap3-typeahead.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:49:04 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 13029
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/stylesheets/bootstrap-wysihtml5/core-b3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/css/back_journal_release.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/vendors/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/css/uniform.default.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:50:02 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1099
